artist,song title ,text
Indigo Girls,closer to fine,im trying to tell you something about my life maybe give me insight between black and white and the best thing youve ever done for me is to help me take my life less seriously its only life after all well darkness has a hunger thats insatiable and lightness has a call thats hard to hear and i wrap my fear around me like a blanket i sailed my ship of safety til i sank it im crawling on your shores and i went to the doctor i went to the mountains i looked to the children i drank from the fountains theres more than one answer to these questions pointing me in a crooked line and the less i seek my source for some definitive closer i am to fine closer i am to fine and i went to see the doctor of philosophy with a poster of rasputin and a beard down to his knee he never did marry or see a b grade movie he graded my performance he said he could see through me i spent four years prostrate to the higher mind got my paper and i was free i went to the doctor i went to the mountains i looked to the children i drank from the fountains theres more than one answer to these questions pointing me in crooked line and the less i seek my source for some definitive closer i am to fine closer i am to fine i stopped by the bar at 3 a m to seek solace in a bottle or possibly a friend and i woke up with a headache like my head against a board twice as cloudy as id been the night before and i went in seeking clarity i went to the doctor i went to the mountains i looked to the children i drank from the fountain we go to the doctor we go to the mountains we look to the children we drink from the fountain we go to the bible we go through the workout we read up on revival we stand up for the lookout theres more than one answer to these questions pointing me in a crooked line and the less i seek my source for some definitive closer i am to fine closer i am to fine closer i am to fine
Indigo Girls,secure yourself,in the ink of an eye i saw you bleed through the thunder i could hear you scream solid to the air i breath open eyed and fast asleep falling softly as the rain no footsteps ringing in your ears ragged down worn to the skin warrior raging have no fear secure yourself to heaven hold on tight the night has come fasten up your earthly burdens you have just begun kneeling down with broken prayers hearts and bones from days of youth restless with an angels wing i dig a grave to bury you no feet to fall you need no ground allowed to glide right through the sun released from circles guarded tight now we all are chosen ones secure yourself to heaven hold on tight the night has come fasten up your earthly burdens you have just begun
Indigo Girls,kid fears,pain from pearls hey little girl how much have you grown pain from pearls hey little girl flower for the ones youve known are you on fire from the years what would you give for your kid fears secret staircase running high you had a hiding place secret staircase running low but they all know now youre inside are you on fire from the years what would you give for yourkid fears skipping stones we know the price now any sin will do how much further if you can spin how much further if you are smooth are you on fire from the years what would you give for yourkid fears replace the rent with the stars above replace the need with love replace the anger with the tide replace the ones the ones the ones that you love replace the rent with the stars above replace the need with love replace the anger with the tide replace the ones the ones the ones that you love are you on fire from the years what would you give for yourkid fears replace the rent with the stars above replace the need with love replace the anger with the tide replace the ones the ones the ones that you love
Indigo Girls,prince of darkness,my place is of the sun and this place is of the dark i do not feel the romance i do not catch the spark i dont know when i noticed life was life at my expense the words of my heart lined up like prisoners on a fence the dreams came in like needy children tugging at my sleeve i said i have no way of feeding you so leave but there was a time i asked my father for a dollar and he gave it a ten dollar raise when i needed my mother and i called her she stayed with me for days and now someones on the telephone desperate in his pain someones on the bathroom floor doing her cocaine someones got his finger on the button in some room no one can convince me we arent gluttons for our doom but i tried to make this place my place i asked for providence to smile upon me with his sweet face but ill tell you my place is of the sun and this place is of the dark i do not feel the romance i do not catch the spark my place is of the sun and this place is of the dark by grace my sight grows stronger and i will not be a pawn for the prince of darkness any longer maybe theres no haven in this world for tender age my heart beat like the wings of wild birds in a cage my greatest hope my greatest cause to grieve and my heart flew from its cage and it bled upon my sleeve the cries of passion were like wounds that needed healing i couldnt hear them for the thunder i was half the naked distance between hell and heavens ceiling and he almost pulled me under now someones on the telephone desperate in his pain someones on the bathroom floor doing her cocaine someones got his finger on the button in some room no one can convince me we arent gluttons for our doom i tried to make this place my place i asked for providence to smile upon me with his sweet face but ill tell you my place is of the sun and this place is of the dark i do not feel the romance i do not catch of spark my place is of the sun and this place is of the dark by grace my sight grows stronger grows stronger i do not feel the romance i do not catch the spark and i will not be a pawn for the prince of darkness any longer
Indigo Girls,blood and fire,"i have spent nights with matches and knives leaning over ledges only two flights up cutting my heart burning my soul nothing left to hold nothing left but blood and fire you have spent nights thinking of me missing my arms but you needed to leave leaving my cuts leaving my burns hoping id learn blood and fireare too much for these restless arms to hold and my nights of desire are calling me back to your fold and i am calling you calling you from 10,000 miles away wont you wet my fire with your love babe i am looking for someone who can take as much as i give give back as much as i need and still have the will to live i am intense i am in need i am in pain i am in love i feel forsaken like the things i gave away blood and fire are too much for these restless arms to hold and my nights of desire are calling me back to your fold and i am calling you calling you from 10,000 miles away wont you wet my fire with your love babe  i am intense i am in need i am in pain i am in love i am intense i am in need i am in pain i am in love i am intense i am in need i am in pain i am in love  blood and fire are too much for these restless arms to hold and my nights of desire are calling me back to your fold and i am calling you calling you from 10,000 miles away wont you wet my fire with your love babe "
Indigo Girls,tried to be true,from baby to best with no second test little storms destroy you  here is the fame they promised to give you taking the place of my hand now  did you try to be true what separates me from you what separates me from you now  did you borrow the soul the soul that you sell now what does your conscience tell you where are the demons of your desire why does my love destroy you  did you try to be true what separates me from you what separates me from you now  i said i tried to be true what separates me from you i said i tried tried to be true what separates me from you what separates me from you now  did you try to be true what separates me from you what separates me from you now  so where is the fame where is the fortune where is the world that denies you who is to blame when my heart finally forfeits to a road that will only misguide you  did you try to be true what separates me from you what separates me from you now  did we try to be true what separates me from you did we try try to be true what separates me from you did you try to be true what separates me from you what separates me from you now  i bought my love a hunger more precious than a stone all these fatal flowers did i misguide you where is the world that denies you try to be true did you try to be true what separates me from you what separates me from you now 
Indigo Girls,loves recovery,during the time of which i speak it was hard to turn the other cheek to the blows of insecurity feeding the cancer of my intellect the blood of love soon neglected lay dying in the strength of its impurity meanwhile our friends we thought were so together theyve all gone and left each other in search of fairer weather and we sit here in our storm and drink a toast to the slim chance of loves recovery there i am in younger days star gazing painting picture perfect maps of how my life and love would be not counting the unmarked paths of misdirection my compass faith in loves perfection i missed ten million miles of road i should have seen meanwhile our friends we thought were so together left each other one by one in search of fairer weather and we sit here in our storm and drink a toast to the slim chance of loves recovery rain soaked and voice choked like silent screaming in a dream i search for our absolute distinction not content to bow and bent to the whims of culture that swoop like vultures eating us away eating us away eating us away to our extinction oh how i wish i were a trinity so if i lost a part of me id still have two of the same to live but nobody gets a lifetime rehearsal as specks of dust were universal to let this love survive would be the greatest gift we could give tell all the friends who think theyre so together that these are ghosts and mirages these thoughts of fairer weather though its storming out i feel safe within the arms of loves discovery
Indigo Girls,lan of canaan,you can go to the east to find your inner hemisphere you say were under the same sky babe youre bound to realize honey its not that clear im not your promise land im not your promise one im not your land of canaan sweetheart waiting for you under the sun im lonely tonight im missing you now im wanting your love and youre giving it out im lonely tonight im lonely tonight im lonely tonight well the meanings changed for what its worth its just a senseless game i should think of love but its fear every time i hear your heart strain its not the fallen man its not the call of time its just the london skyline telling me youre not mine im lonely tonight im missing you now im wanting your love and youre giving it out im lonely tonight im lonely tonight im lonely tonight my blood is running dry my skin is my skin is growing thin for every time you find yourself you lose a little bit of me from within its just a raging cycle why cant we bring it all to the end of the line from inside this existence sweetheart time is not on my side im lonely tonight im missing you now im wanting your love and youre giving it out im lonely tonight im lonely tonight im lonely tonight im not your promised land im not your promised one im not your promised land im not your promised one im not your land of canaan sweetheart im not your land of canaan sweetheart im not your land of canaan sweetheart waiting for you under the sun im lonely tonight 
Indigo Girls,center stage,laughing in a crown of jewels numbness from a scepters wound toss and turn i spin and learn catch yourself before you burn a jokers dance before the king jangling beads a silver ring close your eyes and bare the sound jumping up falling down falling falling falling falling down look yourself in the eye before you drown royal rebels discover you trust you turn there is no truth and circle circle why are you scared why a smile instead of tears im gulping smoke to fade away figures floating down to lay meet the joker and the thief the king and queen but no relief falling falling falling falling down look yourself in the eye before you drown the king is in the counting house counting out his money {look yourself in the eye before you drown falling falling falling falling down } falling falling falling falling down look yourself in the eye before you drown the queen is in her parlour eating bread and honey {look yourself in the eye before you drown falling falling falling falling down } falling falling falling falling down look yourself in the eye before you drown mary had a little lamb i cross myself before i die the leaping man he asks me why well your rhythm is off i reply now you must dance the dance that you imply! your actions will follow you full circle round your actions will follow you full circle round your actions will follow you full circle round your actions will follow you full circle round the higher the leap i said the harder the ground! 
Indigo Girls,history of us,i went all the way to paris to forget your face captured in stained glass young lives long since passed statues of lovers every place i went all across the continent to relieve this restless love i walked through the ruins icons of glory smashed by the bombs from above so we must love while these moments are still called today take part in the pain of this passion play stretching our youth as we must until we are ashes to dust until time makes history of us jeu de paumes full of faces knowing peace knowing strife leisure and toil still its canvas and oil theres just no medium for life in the midst of the rubble i felt a sense of rebirth in a dusty cathedral the living god called and i prayed for my life here on earth so we must love while these moments are still called today take part in the pain of this passion play stretching our youth as we must until we are ashes to dust until time makes history of us there are mountains in switzerland brilliant cold as they stand from my hotel room watching the half moon bleeding its light like a lamb and the town is illumined its tiny figures are fast asleep and it dawns on me the time is upon me to return to the flock i must keep so we must love while these moments are still called today take part in the pain of this passion play stretching our youth as we must until we are ashes to dust until time makes history of us
