artist,song title ,text
Phoebe Bridgers,smoke signals,i went with you up to the place you grew up in we spent a week in the cold just long enough to walden it with you any longer it would have got old singing ace of spades when lemmy died but nothings changed l a s all right sleeping in my bed again and getting in my head and then walk around the reservoir you you must have been looking for me sending smoke signals pelicans circling burning trash out on the beach one of your eyes is always half shut something happened when you were a kid i didnt know you then and ill never understand why it feels like i did how soon is now in an 80s sedan you slept inside of it because your dad lived in a campground in the back of a van you said that song will creep you out until youre deadand you must have been looking for me sending smoke signals pelicans circling burning trash out on the beach i want to live at the holiday inn where somebody else makes the bed well watch tv while the lights on the street put all the stars to death its been on my mind since bowie died just checking out to hide from life and all of our problems im gonna solve em with you riding shot gun speeding cause fuck the cops and you you must have been looking for me sending smoke signals pelicans circling burning trash out on the beach i buried a hatchet its coming up lavender the futures unwritten the past is a corridor im at the exit looking back through the hall you are anonymous i am a concrete wall
Phoebe Bridgers,motion sickness,i hate you for what you did and i miss you like a little kid i faked it every time but thats alright i can hardly feel anything i hardly feel anything at all you gave me fifteen hundred to see your hypnotherapist i only went one time you let it slide fell on hard times a year ago was hoping you would let it go and you did i have emotional motion sickness somebody roll the windows down there are no words in the english language i could scream to drown you out im on the outside looking through youre throwing rocks around your room and while youre bleeding on your back in the glass ill be glad that i made it out and sorry that it all went down like it did i have emotional motion sickness somebody roll the windows down there are no words in the english language i could scream to drown you out and why do you sing with an english accent i guess its too late to change it now you know im never gonna let you have it but i will try to drown you out you said when you met me you were bored you said when you met me you were bored and you you were in a band when i was born i have emotional motion sickness i try to stay clean and live without and i want to know what would happen if i surrender to the sound surrender to the sound
Phoebe Bridgers,funeral,im singing at a funeral tomorrow for a kid a year older than me and ive been talking to his dad it makes me so sad when i think too much about it i cant breathe and i have this dream where im screaming underwater while my friends are all waving from the shore and i dont need you to tell me what that means i dont believe in that stuff anymore jesus christ im so blue all the time and thats just how i feel always have and i always will i always have and always will i have a friend i call when ive bored myself to tears and we talk until we think we might just kill ourselves but then we laugh until it disappears and last night i blacked out in my car and i woke up in my childhood bed wishing i was someone else feeling sorry for myself when i remembered someones kid is dead jesus christ im so blue all the time and thats just how i feel always have and i always will i always have and always will and its 4 am again and im doing nothing again
Phoebe Bridgers,demi moore,take a dirty picture babe i cant sleep and i miss your face in my hands and in my knees tell me what you wanna do to me tell me what youll do please i dont wanna be alone i dont wanna be alone anymore you got quiet on the other line said the sun was coming up and i laughed until i couldnt breathe now im too tired to go to sleep now i cant breathe and i cant sleep i dont wanna be stoned i dont wanna be stoned anymore dont wanna be alone dont wanna be alone anymore i could feel alone i could i got a good feeling it doesnt happen very often
Phoebe Bridgers,scott street,walking scott street feeling like a stranger with an open heart open container ive got a stack of mail and a tall can its a shower beer its a payment plan theres helicopters over my head every night when i go to bed spending money and i earned it when im lonely thats when ill burn it do you feel ashamed when you hear my name i asked you how is your sister i heard she got her degree and i said that makes me feel old he said what does that make me i asked you how is playing drums you said its too much shit to carry and what about the band you said theyre all getting married do you feel ashamed when you hear my name anyway dont be a stranger anyway dont be a stranger dont be a stranger
Phoebe Bridgers,killer,sometimes i think im a killer scared you in your house even scared myself by talking about dahmer on your couch but i cant sleep next to a body even harmless in death plus im pretty sure id miss you and faking sleep to count your breath can the killer in me tame the fire in you is there nothing left to do for us i am sick of the chase but im hungry for blood and theres nothing i can do but when im sick and tired when my mind is barely there when a machine keeps me alive and im losing all my hair i hope you kiss my rotten head and pull the plug know that ive burned every playlist and given all my love can the killer in me tame the fire in you i know theres something waiting for us i am sick of the chase but im stupid in love and theres nothing i can do and theres nothing i can do
Phoebe Bridgers,georgia,georgia georgia i love your son when he gets older he might be the one he might be the one georgia georgia he has beautiful bones and he never lies or picks up his phone sometimes in the pouring rain hell fall in the mud and get back up again and if you find me will you know me will you take me or will you fall here is my day plan my new machine he is a fine new addition so young and so clean so young and so clean he came up through the water without a sound with my back to the shoreline i dreamt that he drowned i dreamt that he drowned sometimes when he looks at me i know that he needs you youre all that he sees and if i had breathed you will it kill me will you have me or watch me fall if i had fixed you will you hate me would you fuck this and let us fall
Phoebe Bridgers,chelsea,for a chemical imbalance you sure know how to ride a train your revolution is a deathbed and the music is your maid when someone comes a knocking with a needle on a tray only your lonesome lies beside you for you told me not to stay you are somebodys baby some mother held you near no its not important theyre just pretty words my dear there is no distraction that can make me disappear no theres nothing that wont remind you i will always be right here and you spit the blood back spit the blood back baby im amazed that youre alright oh so long prison boy i wont be home with you tonight were both very sick our muscles all worn down its as if we are one hundred—no i wont still be around because ive fallen yes ive fallen right into the love i found long before i reach one hundred ill have fallen to the ground and for generations their romances make us more its much less than than ever was before the chelsea and the floor make us stand before the masses like two speakers for the poor when there was no revolution nothing we were fighting for and you spit the blood back spit the blood back baby im amazed that youre alright oh so long prison boy i wont be home i wont be home i wont be home with you tonight and you can call the service bell when we stay at the chelsea hotel and ill stay out of my own head oh so long prison boy i wont be home i wont be home i wont be home with you tonight
Phoebe Bridgers,would you rather,playing would you rather when it comes to fire you always say that youd prefer to drown you were still in the ambulance when the cop suggested youre the one who tried to burn it down come to find out im a can on a string youre on the end we find our way out of a suicide pact of our family and friends in the background ill be waiting we have the same face i laid awake as someone shoved you up against a wall quarantined in a bad dream hes half the man and youre twice as tall come to find out im a can on a string youre on the end we find our way out of a suicide pact of our family and friends in the background ill be waiting next time i see you youll show me a hundred different ways to say the same things come to find out im a can on a string youre on the end we find our way out of a suicide pact of our family and friends and when you touch down ill be waving
Phoebe Bridgers,you missed my heart,broke into her house saw her sitting there drinking coke and whiskey in her bra and underwear saw him in the kitchen hanging up the phone i asked him nicely once to pack his things and go he gave her a reassuring look said he wouldnt leave but i asked him one more time this time pulled out my shiv struck him in the back and i pulled it out slow and i watched him fall down and as the morning sun rose he looked at me and said you missed my heart you missed my heart you got me good i knew you would but you missed my heart you missed my heart were his last words before he died looking out the window up at the blue sky listening to her scream listening to her cry a feeling of relief came over my soul i couldnt take it any longer and i lost control i chased her up the stairs and i pinned her to the ground and underneath her whimpering i could hear the sirens sound i rattled off a list of all the things i missed like going to the movies with her and the way she kissed me driving into downtown wheeling showing her off backyard barbecues and reunions in the park i said i missed her skin and when started laughing and while i clenched down on her wrist she said thats quite a list but theres one thing you missed you missed my heart you missed my heart thats quite a list but what you really missed you missed my heart you missed my heart thats quite a list but what you really missed running through the parking lot running through the fields policemen on my back something hit my skull and cracked they dragged me off to jail set a million dollar bail where i tried to tie a noose but i failed and i broke loose i went racing through the prison yard shot down by a tower guard he got me in the shins and he got me in the arms they strapped me in the gurney took me off to the infirmary where the priest read my last rites and just before everything went dark i said: he missed my heart he missed my heart he got me good i knew he would but he missed my heart he missed my heart and just before everything went dark the most poetic dream came flowing like the sea laying there my lifeblood draining out of me a childhood scene then sky moon beams fishing with my friends sitting in the wild reeds watching the ohio river flow at night waiting for the bullhead catfishes to bite downriver from the moundsville prison graveyard
Phoebe Bridgers,garden song,someday im gonna live in your house up on the hill and when your skinhead neighbor goes missing ill plant a garden in the yard then theyre gluing roses on a flatbed you should see it i mean thousands i grew up here till it all went up in flames except the notches in the doorframe i dont know when you got taller see our reflection in the water off a bridge at the huntington i hopped the fence when i was seventeen then i knew what i wanted and when i grow up im gonna look up from my phone and see my life and its gonna be just like my recurring dream im at the movies i dont remember what im seeing the screen turns into a tidal wave then its a dorm room like a hedge maze and when i find you you touch my leg and i insist but i wake up before we do it i dont know how but im taller it must be something in the water everythings growing in our garden you dont have to know that its haunted the doctor put her hands over my liver she told me my resentments getting smaller no im not afraid of hard work i get everything i want i have everything i wanted
Phoebe Bridgers,kyoto,day off in kyoto got bored at the temple looked around at the 7 11 the band took the speed train went to the arcade i wanted to go but i didnt you called me from a payphone they still got pay phones it costs a dollar a minute to tell me youre getting sober and you wrote me a letter but i dont have to read it im gonna kill you if you dont beat me to it dreaming through tokyo skies i wanted to see the world then i flew over the ocean and i changed my mind sunsets been a freak show on the weekend so ive been driving out to the suburbs to park at the goodwill and stare at the chem trails with my little brother he said you called on his birthday you were off by like ten days but you get a few points for trying remember getting the truck fixed when you let us drive it 25 felt like flying i dont forgive you but please dont hold me to it born under scorpio skies i wanted to see the world through your eyes until it happened then i changed my mind guess i lied im a liar who lies cause im a liar
Phoebe Bridgers,punisher,when the speed kicks in i go to the store for nothing and walk right by the house where you lived with snow white i wonder if she ever thought the storybook tiles on the roof were too much but from the window its not a bad show if your favorite things dianetics or stucco the drugstores are open all night the only real reason i moved to the east side i love a good place to hide in plain sight what if i told you i feel like i know you but we never met and here everyone knows youre the way to my heart hear so many stories of you at the bar most times alone and some looking your worst but never not sweet to the trust funds and punishers man i wish that i could say the same i swear im not angry thats just my face a copycat killer with a chemical cut either im careless or i wanna get caught who im not what if i told you i feel like i know you but we never met its for the best i cant open my mouth and forget how to talk cause even if i could wouldnt know where to start wouldnt know when to stop\\
Phoebe Bridgers,halloween,i hate living by the hospital the sirens go all night i used to joke that if they woke you up somebody better be dying sick of the questions i keep asking you they make you live in the past but i can count on you to tell me the truth when youve been drinking and youre wearing a mask baby its halloween we can be anything come on man we can be anything always surprised what id do for love some things id never expect they killed a fan down by the stadium was only visiting they beat him to death baby its halloween we can be anything come on man we can be anything baby its halloween theres a last time for everything come on man we can be anything whatever you want ill be whatever you want whatever you want be whatever you want ill be whatever you want whatever you want ill be whatever you want whatever you want whatever you want
Phoebe Bridgers,chinese satellite,ive been running around in circles pretending to be myself why would somebody do this on purpose when they could do something else drowning out the morning birds with the same three songs over and over i wish i wrote it but i didnt so i learn the words hum along til the feelings gone forever took a tour to see the stars but they werent out tonight so i wished hard on a chinese satellite i want to believe instead i look at the sky and i feel nothing you know i hate to be alone i want to be wrong you were screamin at the evangelicals they were screamin right back from what i remember when you said i will never be your vegetable because i think when youre gone its forever but you know id stand on the corner embarrassed with a picket sign if it meant i would see you when i die sometimes when i cant sleep its just a matter of time before im hearing things swore i could feel you through the walls but thats impossible i want to believe that if i go outside ill see a tractor beam coming to take me to where im from i want to go home
Phoebe Bridgers,moon song,you asked to walk me home but i had to carry you and you pushed me in now my feet cant touch the bottom of you you couldnt have you couldnt have stuck your tongue down the throat of somebody who loves you more i will wait for the next time you want me like a dog with a bird at your door we hate tears in heaven but its sad his baby died we fought about john lennon until i cried then i went to bed upset now im dreaming and youre singing at my birthday ive never seen you smiling so big its nautical themed and theres something im supposed to say cant for the life of me remember what it is and if i could give you the moon i would give you the moon you are sick and youre married and you might be dying but youre holding me like water in your hands when you saw the dead little bird you started crying but you know the killer doesnt understand
Phoebe Bridgers,savior complex,emotional affair overly sincere smoking in the car windows up crocodile tears run the tap til its clear drift off on the floor i drag you to the shore sweating through the sheets youre gonna drown in your sleep for sure wake up and start a big fire in our one room apartment but im too tired to have a pissing contest all the bad dreams that you hide show me yours ill show you mine call me when you land ill drive around again one hand on the wheel one in your mouth turn me on and turn me down baby youre a vampire you want blood and i promised im a bad liar with a savior complex all the skeletons you hide show me yours and ill show you mine all the bad dreams that you hide show me yours
Phoebe Bridgers,icu,laying down on the lawn im tired of trying to get in the house im thinking out loud ive been playing dead my whole life and i get this feeling whenever i feel good itll be the last time but i feel something when i see you now i feel something when i see you if youre a work of art im standing too close i can see the brush strokes i hate your mom i hate it when she opens her mouth its amazing to me how much you can say when you dont know what youre talking about but i feel something when i see you now i feel something when i see you i used to light you up now i cant even get you to play the drums cause i dont know what i want until i fuck it up but i feel something when i see you now i feel something ill climb through the window again but right now it feels good not to stand then ill leave it wide open let the dystopian morning light pour in
Phoebe Bridgers,graceland too,no longer a danger to herself or others she made up her mind and laced up her shoes yelled down the hall but nobody answered so she walked outside without an excuse she could do anything she wants to she could do whatever she wants to do she could go home but shes not going to so she picks a direction its ninety in memphis turns up the music so thoughts dont intrude predictably winds up thinking of elvis and wonders if he believed songs could come true im asking for it if they do doesnt know what she wants or what shes gonna do a rebel without a clue so we spent what was left of our serotonin to chew on our cheeks and stare at the moon said she knows shell live through it to get to this moment ate a sleeve of saltines on my floor and i knew that i would do anything you want me to i would do anything for you i would do anything i would do anything whatever you want me to do i will do whatever she wants whatever she wants whatever she wants whatever you want whatever she wants whatever you want i would do anything whatever you want i would do anything whatever you want whatever she wants whatever you want whatever she wants whatever you want
Phoebe Bridgers,i know the end,somewhere in germany but i cant place it man i hate this part of texas close my eyes fantasize three clicks and im home when i get back ill lay around then ill get up and lay back down romanticize a quiet life theres no place like my room but you had to go i know i know i know like a wave that crashed and melted on the shore not even the burnouts are out here anymore and you had to go i know i know i know out in the park we watch the sunset talkin on a rusty swing set after a while you went quiet and i got mean im always pushin you away from me but you come back with gravity and when i call you come home a bird in your teeth so i gotta go i know i know i know when the sirens sound youll hide under the floor but im not gonna go down with my hometown in a tornado im gonna chase it i know i know i know i gotta go now i know i know i know drivin out into the sun let the ultraviolet cover me up went looking for a creation myth ended up with a pair of cracked lips windows down scream along to some america first rap country song a slaughterhouse an outlet mall slot machines fear of god windows down heater on big bolt of lightning hanging low over the coast everyones convinced its a government drone or an alien spaceship either way were not alone ill find a new place to be from a haunted house with a picket fence to float around and ghost my friends no im not afraid to disappear the billboard said the end is near i turned around there was nothing there yeah i guess the end is here the end is here the end is here the end is here the end is
