number,text
marginal note 1,"Aureolus invades Italy, is defeated and beſieged at Milan."
marginal note 2,A. D. 268.
marginal note 3,A. D. 268. March 20. Death of Gallienus.
marginal note 4,Character and elevation of the emperor Claudius.
marginal note 5,Death of Aureolus.
marginal note 6,Clemency and juſtice of Claudius.
marginal note 7,He undertakes the reformation of the army.
marginal note 8,A. D. 269. The Goths invade the empire.
marginal note 9,Diſtreſs and firmneſs of Claudius.
marginal note 10,His victory over the Goths.
marginal note 11,A. D. 270.
marginal note 12,"March. Death of the emperor, who recommends Aurelian for his ſucceſſor."
marginal note 13,The attempt and fall of Quintilius.
marginal note 14,April.
marginal note 15,Origin and ſervices of Aurelian.
marginal note 16,Aurelian's ſucceſsful reign.
marginal note 17,His ſevere diſcipline.
marginal note 18,"He concludes a treaty with the Goths,"
marginal note 19,and reſigns to them the province of Dacia.
marginal note 20,The Alemannie war.
marginal note 21,A. D. 270. September.
marginal note 22,"The Alemanni invade Italy,"
marginal note 23,and are at laſt vanquiſhed by Aurelian.
marginal note 24,Superſtitious ceremonies.
marginal note 25,A. D. 271. January 11.
marginal note 26,Fortifications of Rome.
marginal note 27,Aurelian ſuppreſſes the two uſurpers.
marginal note 28,Succeſſion of uſurpers in Gaul.
marginal note 29,The reign and defeat of Tetricus.
marginal note 30,A. D. 271. Summer.
marginal note 31,A. D. 272. Character of Zenobia;
marginal note 32,her beauty and learning;
marginal note 33,her valour.
marginal note 34,"She revenges her huſband's death,"
marginal note 35,A. D. 250.
marginal note 36,and reigns over the Eaſt and Egypt.
marginal note 37,The expedition of Aurelian. A. D. 272.
marginal note 38,The emperor defeats the Palmyrenians in the battles of Antioch and Emeſa.
marginal note 39,The ſtate of Palmyra.
marginal note 40,"It is beſieged by Aurelian,"
marginal note 41,who becomes maſter of Zenobia and of the city.
marginal note 42,A. D. 273.
marginal note 43,Behaviour of Zenobia.
marginal note 44,Rebellion and ruin of Palmyra.
marginal note 45,Aurelian ſuppreſſes the rebellion of Firmus in Egypt.
marginal note 46,A. D 274.
marginal note 47,Triumph of Aurelian.
marginal note 48,His treatment of Tetricus and Zenobia.
marginal note 49,His magnificence and devotion.
marginal note 50,He ſuppreſſes a ſedition at Rome.
marginal note 51,Obſervations upon it.
marginal note 52,Cruelty of Aurelian.
marginal note 53,"He marches into the Eaſt, and is aſſaſſinated."
marginal note 54,A. D. 274. October.
marginal note 55,A. D. 275. January.
marginal note 56,Extraordinary conteſt between the army and the ſenate for the choice of an emperor.
marginal note 57,A. D. 275. Feb. 3.
marginal note 58,A peaceful interregnum of eight months.
marginal note 59,A. D. 275. Sept. 25.
marginal note 60,The conſul aſſembles the ſenate.
marginal note 61,Character of Tacitus.
marginal note 62,"He is elected emperor,"
marginal note 63,and accepts the purple.
marginal note 64,Authority of the ſenate.
marginal note 65,Their joy and confidence.
marginal note 66,A. D. 276. Tacitus is acknowledged by the army.
marginal note 67,"The Alani invade Aſia, and are repulſed by Tacitus."
marginal note 68,Death of the emperor Tacitus.
marginal note 69,A. D. 276. April 12.
marginal note 70,Uſurpation and death of his brother Florianus.
marginal note 71,July.
marginal note 72,Their family ſubſiſts in obſcurity.
marginal note 73,Character and elevation of the emperor Probus.
marginal note 74,His reſpectful conduct towards the ſenate.
marginal note 75,A. D. 276. Auguſt 3.
marginal note 76,Victories of Probus over the barbarians.
marginal note 77,A. D. 277.
marginal note 78,"He delivers Gaul from the invaſion of the Germans,"
marginal note 79,and carries his arms into Germany.
marginal note 80,He builds a wall from the Rhine to the Danube.
marginal note 81,Introduction and ſettlement of the barbarians.
marginal note 82,Daring enterpriſe of the Franks.
marginal note 83,Revolt of Saturninus in the Eaſt;
marginal note 84,A. D. 279.
marginal note 85,A. D. 280. of Bonoſus and Proculus in Gaul.
marginal note 86,A. D. 281.
marginal note 87,Triumph of the emperor Probus.
marginal note 88,His diſcipline.
marginal note 89,His death.
marginal note 90,"A. D. 282, Auguſt."
marginal note 91,Election and character of Carus.
marginal note 92,The ſentiments of the ſenate and people.
marginal note 93,"Carus defeats the Sarmatians, and marches into the Eaſt;"
marginal note 94,A. D. 283.
marginal note 95,he gives audience to the Perſian ambaſſadors.
marginal note 96,His victories and extraordinary death.
marginal note 97,A. D. 283. Dec. 25.
marginal note 98,He is ſucceeded by his two ſons Carinus and Numerian.
marginal note 99,A. D. 384. Vices of Carinus.
marginal note 100,He celebrates the Roman games.
marginal note 101,Spectacles of Rome.
marginal note 102,The amphitheatre.
marginal note 103,A. D. 284. Sept. 12.
marginal note 104,Return of Numerian with the army from Perſia.
marginal note 105,Death of Numerian.
marginal note 106,A. D. 284. Sept. 17.
marginal note 107,Election of the emperor Diocletian.
marginal note 108,Defeat and death of Carinus.
marginal note 109,A. D. 285. May.
marginal note 110,Elevation and character of Diocletian.
marginal note 111,A. D. 285.
marginal note 112,His clemency and victory.
marginal note 113,Aſſociation and character of Maximian.
marginal note 114,A. D 286. April 1.
marginal note 115,Aſſociation of two Caeſars.
marginal note 116,Galerius and Conſtantius.
marginal note 117,A. D. 292. March 1.
marginal note 118,Departments and harmony of the four princes.
marginal note 119,Series of events.
marginal note 120,A. D. 287. State of the peaſants of Gaul.
marginal note 121,"Their rebellion,"
marginal note 122,and chaſtiſement.
marginal note 123,A. D. 287.
marginal note 124,Revolt of Carauſius in Britain.
marginal note 125,Importance of Britain.
marginal note 126,"Power of Carauſius,"
marginal note 127,A. D. 289. acknowledged by the other emperors.
marginal note 128,A. D. 292.
marginal note 129,A. D. 294.
marginal note 130,His death.
marginal note 131,A. D. 296.
marginal note 132,Recovery of Britain by Conſtantius.
marginal note 133,Defence of the frontiers.
marginal note 134,Fortifications.
marginal note 135,Diſſentions of the barbarians.
marginal note 136,Conduct of the emperors.
marginal note 137,Valour of the Caeſars.
marginal note 138,Treatment of the barbarians.
marginal note 139,Wars of Africa and Egypt.
marginal note 140,A. D. 296.
marginal note 141,Conduct of Diocletian in Egypt.
marginal note 142,He ſuppreſſes books of alchymy.
marginal note 143,Novelty and progreſs of that art.
marginal note 144,The Perſian war.
marginal note 145,Tiridates the Armenian.
marginal note 146,A. D. 282.
marginal note 147,A. D. 286.
marginal note 148,His reſtoration to the throne of Armenia.
marginal note 149,State of the country.
marginal note 150,Revolt of the people and nobles.
marginal note 151,Story of Mamgo.
marginal note 152,The Perſians recover Armenia.
marginal note 153,War between the Perſians and the Romans.
marginal note 154,A. D. 296.
marginal note 155,Defeat of Galerius.
marginal note 156,His reception by Diocletian.
marginal note 157,Second campaign of Galerius.
marginal note 158,A. D. 297.
marginal note 159,His victory.
marginal note 160,and behaviour to his royal captives.
marginal note 161,Negociation for peace.
marginal note 162,Speech of the Perſian ambaſſador.
marginal note 163,Anſwer of Galerius.
marginal note 164,Moderation of Diocletian.
marginal note 165,Concluſion
marginal note 166,and articles of the treaty.
marginal note 167,The Aboras fixed as the limits between the empires.
marginal note 168,Ceſſion of five provinces beyond the Tigris.
marginal note 169,Armenia.
marginal note 170,Iberia.
marginal note 171,Triumph of Diocletian and Maximian.
marginal note 172,A. D. 303. Nov. 20.
marginal note 173,Long abſence of the emperors from Rome.
marginal note 174,Their reſidence at Milan
marginal note 175,and Nicomedia.
marginal note 176,Debaſement of Rome and of the ſenate.
marginal note 177,"New bodies of guards, Jovians and Herculians."
marginal note 178,Civil magiſtracies laid aſide.
marginal note 179,Imperial dignity and titles.
marginal note 180,"Diocletian aſſumes the diadem, and introduces the Perſian ceremonial."
marginal note 181,"New form of adminiſtration, two Auguſti, and two Caeſars."
marginal note 182,Increaſe of taxes.
marginal note 183,Abdication of Diocletian and Maximian.
marginal note 184,Reſemblance to Charles the Fifth.
marginal note 185,A. D. 304. Long illneſs of Diocletian.
marginal note 186,His prudence.
marginal note 187,A. D. 305. May 1.
marginal note 188,Compliance of Maximian.
marginal note 189,Retirement of Diocletian at Salona.
marginal note 190,"His philoſophy,"
marginal note 191,and death. A. D. 313.
marginal note 192,Deſcription of Salona and the adjacent country.
marginal note 193,Of Diocletian's palace.
marginal note 194,Decline of the arts.
marginal note 195,Of letters.
marginal note 196,The new Platoniſts.
marginal note 197,Period of civil wars and confuſion.
marginal note 198,A. D. 305—323.
marginal note 199,Character and ſituation of Conſtantius.
marginal note 200,Of Galerius.
marginal note 201,"The two Caeſars, Severus and Maximin."
marginal note 202,Ambition of Galerius diſappointed by two revolutions.
marginal note 203,"Birth, education, and eſcape of Conſtantine. A. D. 274."
marginal note 204,A. D. 292.
marginal note 205,"Death of Conſtantius, and elevation of Conſtantine. A. D. 306. July 25."
marginal note 206,"He is acknowledged by Galerius, who gives him only the title of Caeſar, and that of Auguſtus to Severus."
marginal note 207,The brothers and ſiſters of Conſtantine.
marginal note 208,Diſcontent of the Romans at the apprehenſion of taxes.
marginal note 209,Maxentius declared emperor at Rome. A. D. 306. 28th Oct.
marginal note 210,Maximian re-aſſumes the purple.
marginal note 211,Defeat and death of Severus.
marginal note 212,A. D. 307. February.
marginal note 213,"Maximian gives his daughter Fauſta, and the title of Auguſtus, to Conſtantine. A. D. 307. March 31."
marginal note 214,Galerius invades Italy.
marginal note 215,His retreat.
marginal note 216,Elevation of Licinius to the rank of Auguſtus;
marginal note 217,A. D. 307. Nov. 11.
marginal note 218,and of Maximin.
marginal note 219,Six emperors. A. D. 308.
marginal note 220,Misfortunes of Maximian.
marginal note 221,His death. A. D. 310. February.
marginal note 222,Death of Galerius. A. D. 311. May.
marginal note 223,His dominion ſhared between Maximin and Licinius.
marginal note 224,Adminiſtration of Conſtantine in Gaul. A. D. 306—312.
