FID,token,names,latitude,longitude,identifier,counts
0,Rome,"['Roma', 'Roma, Rōma', 'Rome', 'Ῥώμῃ', 'Rhome, Rhṓmē, Rome', 'Rom', 'روما', 'Ρώμη', 'रोम', 'ローマ', 'Рим', '罗马市', 'Ῥώμη', 'ܪܘܡܝ', 'الرومية', 'Roma Capitale', 'Urbs aeterna', 'Urbs', 'Romë', 'Rzym']",41.891775,12.486137,http://pleiades.stoa.org/places/423025,59
1,Trajan,['Arco di Traiano'],41.132522,14.779208,http://pleiades.stoa.org/places/568637774,24
2,earth,"['oceanus Atlanticus', 'Atlanticus Oceanus', 'Gaditanus Oceanus', 'Hispanus Oceanus', 'Hesperius Oceanus', 'Occidentalis Oceanus']",37.5,-12.5,http://pleiades.stoa.org/places/845,5
3,Aethiopia,"['Nubia', 'ܢܘܒܗ', 'Aethiopia', 'Αἰθίοπες', 'Ethiopia', 'Αἰθιοπίας']",12.5,37.5,http://syriaca.org/place/630,1
4,Europe,['Europe'],?,?,http://pleiades.stoa.org/places/536074,1
5,Germany,"['Visurgis', 'Weser', 'Οὐίσουργις']",52.54852865,9.0083933,http://pleiades.stoa.org/places/99060,2
6,the Atlantic Ocean,"['Ouergionios Okeanos', 'Celtic Sea']",50,-9,http://pleiades.stoa.org/places/79632,2
7,Euphrates,"['Εὐφράτης', 'Euphrates', 'Arahtu', 'Buranun', 'Purattu', 'al-Furāt, al-Furat, el-Furat, al-Forat, el-Forat, Furat, Forat', 'Puranade', 'Firat', 'al Furāt, al Furat, el Furat, el Furāt', 'al-Furat', 'Firat Nehri', 'Omma', 'Nahr al-Furāt, Nahr al-Furat, Nahr el-Furat, Nahr el-Furāt', 'Fırat, Firat', 'Fırat Nehri, Firat Nehri', 'Euphrat', 'Euphratēs, Euphrates', 'Mala', 'Eprat', 'Purattum', 'Gattu', 'ܦܪܬ', 'الفرات']",31.5,44.5,http://pleiades.stoa.org/places/912849,4
8,Arabia,"['Arabia', 'ܐܬܪ̈ܘܬܐ ܕܥܪ̈ܒܝܐ']",30.27761415,34.70301497,http://pleiades.stoa.org/places/981506,4
9,Africa,['Africa'],32.64030169,7.454251561,http://pleiades.stoa.org/places/775,12
10,Britain,"['Britannia', 'Albion', 'Βρεττανία', 'Britain', 'برطينية']",53.826,-2.422,http://pleiades.stoa.org/places/20419,13
11,Caesar,['Bibroci'],?,?,http://pleiades.stoa.org/places/83819,13
12,Ireland,"['Λίβνιος', 'Libnios']",?,?,http://pleiades.stoa.org/places/21906,13
13,Scotland,['Selgoouai'],55.5,-3.5,http://pleiades.stoa.org/places/89289,2
14,Edinburgh,['Cramond'],55.9776575,-3.3001325,http://pleiades.stoa.org/places/89153,2
15,Dacia,"['Dacia', 'Δακία', 'Dacia (Roman province)', 'Dacie (province romaine)', 'Dacia (provincia romana)', 'Dacia Traiana', 'Dacia Felix', 'Dakien (römische Provinz)']",45.5,22.5,http://pleiades.stoa.org/places/207065,5
16,Tibiscus,"['Tibiscum', 'Jupa, Obreja', 'Τιβίσκον']",45.459075,22.186456,http://pleiades.stoa.org/places/207495,1
17,the Euxine Sea,"['Pontus Euxinus', 'Black Sea', 'Πόντος', 'ܝܡܐ ܐܘܟܡܐ', 'بحر بنطس']",43.0786852,34.7425505,http://pleiades.stoa.org/places/1224,1
18,Armenia,"['Armenia', 'ܐܪܡܢܝܐ', 'ارمينية']",39.5,40.5,http://pleiades.stoa.org/places/874350,4
